Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
mha.cu,1,32,32,256,1,131072,2845165.13,52368.00,5333.02,1.00,193.10,86.93,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,2,16,32,256,1,131072,2786662.08,63488.00,4289.27,1.00,193.11,63.13,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,4,8,32,256,1,131072,2669655.96,62464.00,4173.91,1.00,193.12,60.49,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,8,4,32,256,1,131072,2435643.74,62464.00,3799.28,1.00,193.17,59.93,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,16,2,32,256,1,131072,1967619.29,49152.00,3903.13,1.00,193.29,59.34,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,32,1,32,256,1,131072,874815.36,63040.00,1287.71,1.00,177.88,59.23,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,1,64,64,256,1,131072,5680482.94,33792.00,16710.14,2.00,193.10,58.72,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,2,32,64,256,1,131072,5563476.83,63488.00,8663.04,2.00,193.11,58.01,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,4,16,64,256,1,131072,5329464.61,62464.00,8432.06,2.00,193.13,57.95,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,8,8,64,256,1,131072,4861440.16,64512.00,7435.71,2.00,193.17,57.73,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,16,4,64,256,1,131072,3925391.25,62512.00,6179.42,2.00,193.29,57.60,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,32,2,64,256,1,131072,1598140.16,53248.00,2901.31,2.00,170.69,57.80,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,64,1,64,256,1,131072,1881418.08,53328.00,3428.01,2.00,185.10,57.90,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,1,128,128,256,1,131072,11351118.57,62464.00,18072.26,4.00,193.10,57.51,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,2,64,128,256,1,131072,11117106.34,54272.00,20384.06,4.00,193.11,57.40,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,4,32,128,256,1,131072,10649081.89,36944.00,28724.93,4.00,193.13,57.21,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,8,16,128,256,1,131072,9713032.99,34880.00,27747.00,4.00,193.17,57.15,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,16,8,128,256,1,131072,7840935.19,35328.00,22094.68,4.00,193.29,57.23,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,32,4,128,256,1,131072,4648967.93,55280.00,8309.86,4.00,162.98,56.92,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,64,2,128,256,1,131072,5557393.84,62336.00,8815.22,4.00,177.42,57.00,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,128,1,128,256,1,131072,6465819.74,53264.00,12039.19,4.00,191.87,57.08,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,1,256,256,256,1,131072,26221522.11,53696.00,48733.29,8.00,193.04,56.99,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,2,128,256,256,1,131072,26221518.13,62560.00,41814.19,8.00,193.04,56.88,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,4,64,256,256,1,131072,26221510.16,62528.00,41835.63,8.00,193.04,56.75,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,8,32,256,256,1,131072,26221494.23,55296.00,47320.24,8.00,193.04,56.84,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,16,16,256,256,1,131072,26221462.37,38864.00,67369.80,8.00,193.04,56.91,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,32,8,256,256,1,131072,16749325.64,54064.00,30880.55,8.00,155.34,56.92,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,64,4,256,256,1,131072,20383014.36,53264.00,38167.90,8.00,169.79,56.76,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,128,2,256,256,1,131072,24016703.07,54272.00,44152.47,8.00,184.26,56.72,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,256,1,256,256,1,131072,26221398.65,62912.00,41579.49,8.00,193.04,56.82,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,1,512,512,256,1,131072,104855984.95,54272.00,193104.57,16.00,192.85,56.79,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,2,256,512,256,1,131072,104855980.96,54272.00,193104.56,16.00,192.85,56.69,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,4,128,512,256,1,131072,104855973.00,54224.00,193275.58,16.00,192.85,56.72,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,8,64,512,256,1,131072,104855957.07,53248.00,196819.99,16.00,192.85,56.66,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,16,32,512,256,1,131072,104855925.21,39424.00,265869.79,16.00,192.85,56.68,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,32,16,512,256,1,131072,59700238.32,63488.00,93933.89,16.00,147.88,56.69,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,64,8,512,256,1,131072,74234978.28,65520.00,113201.25,16.00,162.35,56.66,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,128,4,512,256,1,131072,88769718.24,52848.00,167871.76,16.00,176.83,56.60,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,256,2,512,256,1,131072,103304458.20,64464.00,160151.40,16.00,191.31,56.70,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,,,512,,,131072,,,,,,,,,,,,,,,,,,,
mha.cu,1,1024,1024,256,1,131072,419393836.30,62976.00,665858.21,32.00,192.76,80.72,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,2,512,1024,256,1,131072,419393832.31,63488.00,660487.57,32.00,192.76,56.69,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,4,256,1024,256,1,131072,419393824.35,63488.00,660487.56,32.00,192.76,56.62,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,8,128,1024,256,1,131072,419393808.42,53440.00,784693.79,32.00,192.76,56.63,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,16,64,1024,256,1,131072,419393776.56,49664.00,844362.34,32.00,192.76,56.67,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,32,32,1024,256,1,131072,209701794.02,54272.00,386290.39,32.00,140.52,56.63,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,64,16,1024,256,1,131072,267840738.95,44944.00,595843.27,32.00,155.00,56.61,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,128,8,1024,256,1,131072,325979683.87,63472.00,513480.30,32.00,169.48,56.59,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,256,4,1024,256,1,131072,384118628.80,53760.00,714406.38,32.00,183.97,56.64,12,0,0,0,0,0,0,1,0,0,13,32,0
mha.cu,,,1024,,,131072,,,,,,,,,,,,,,,,,,,
mha.cu,,,1024,,,131072,,,,,,,,,,,,,,,,,,,
